category_id,category_name,n_folds,threshold_mean,threshold_std,threshold_mode,threshold_median,threshold_min,threshold_max,threshold_selected
1000000,"arts+ - arts, culture, entertainment and media (01000000)",1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
2000000,"law+ - crime, law and justice (02000000)",1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
3000000,"disaster+ - disaster, accident and emergency incident (03000000)",1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
4000000,"economy+ - economy, business and finance (04000000)",1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
5000000,education (05000000),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
6000000,environment (06000000),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
7000000,health (07000000),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
8000000,human interest (08000000),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
9000000,labor (09000000),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
10000000,lifestyle+ - lifestyle and leisure (10000000),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
11000000,politics and government (11000000),1,0.3,0.0,0.3,0.3,0.3,0.3,0.5
12000000,religion - religion (12000000),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
13000000,sci-tech - science and technology (13000000),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
14000000,society (14000000),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
15000000,sport (15000000),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
16000000,"conflict+ - conflict, war and peace (16000000)",1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
17000000,weather (17000000),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000002,arts+ > arts and entertainment (20000002),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000004,arts+ >> cartoon (20000004),0,,,,,,,0.5
20000005,arts+ >> movies (20000005),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000006,arts+ >>> film festival (20000006),0,,,,,,,0.5
20000007,arts+ >> dance (20000007),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000008,arts+ >>> ballet (20000008),0,,,,,,,0.5
20000009,arts+ >>> modern dance (20000009),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000011,arts+ >> fashion (20000011),0,,,,,,,0.5
20000013,arts+ >> literature (20000013),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000015,arts+ >>> fiction (20000015),0,,,,,,,0.5
20000018,arts+ >> music (20000018),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000019,arts+ >>> musical instrument (20000019),0,,,,,,,0.5
20000020,arts+ >>> musical performance (20000020),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000021,arts+ >>> musical genre (20000021),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000022,arts+ >>>> classical music (20000022),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000025,arts+ >>>> jazz music (20000025),0,,,,,,,0.5
20000026,arts+ >>>> popular music (20000026),0,,,,,,,0.5
20000027,arts+ >>>> rock and roll music (20000027),0,,,,,,,0.5
20000029,arts+ >> theater (20000029),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000031,arts+ >> visual arts (20000031),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000032,arts+ >>> architecture (20000032),0,,,,,,,0.5
20000035,arts+ >>> painting (20000035),0,,,,,,,0.5
20000036,arts+ >>> photography (20000036),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000038,arts+ > culture (20000038),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000040,arts+ >> customs and tradition (20000040),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000041,arts+ >> festive event (culture) (20000041),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000042,arts+ >> language (20000042),0,,,,,,,0.5
20000043,arts+ >> library and museum (20000043),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000044,arts+ >> monument and heritage site (20000044),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000045,arts+ > mass media (20000045),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000046,arts+ >> news media (20000046),0,,,,,,,0.5
20000047,arts+ >> newspaper (20000047),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000048,arts+ >> online media outlet (20000048),0,,,,,,,0.5
20000050,arts+ >> radio (20000050),0,,,,,,,0.5
20000051,arts+ >> television (20000051),0,,,,,,,0.5
20000053,conflict+ > act of terror (20000053),0,,,,,,,0.5
20000055,conflict+ >> terrorist bombings (20000055),0,,,,,,,0.5
20000056,conflict+ > armed conflict (20000056),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000058,conflict+ >> international military intervention (20000058),0,,,,,,,0.5
20000059,conflict+ >> peacekeeping force (20000059),0,,,,,,,0.5
20000062,conflict+ >> war (20000062),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000063,conflict+ >>> civil war (20000063),0,,,,,,,0.5
20000065,conflict+ > civil unrest (20000065),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000066,conflict+ >> demonstration (20000066),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000068,conflict+ >> revolution (20000068),0,,,,,,,0.5
20000069,conflict+ >> riot (20000069),0,,,,,,,0.5
20000070,conflict+ > coup d'etat (20000070),0,,,,,,,0.5
20000071,conflict+ > massacre (20000071),0,,,,,,,0.5
20000072,law+ >> genocide (20000072),0,,,,,,,0.5
20000073,conflict+ > peace process (20000073),0,,,,,,,0.5
20000076,conflict+ >> peace talks (20000076),0,,,,,,,0.5
20000080,conflict+ >> prisoners of war (20000080),0,,,,,,,0.5
20000082,law+ > crime (20000082),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000083,law+ >> arson (20000083),0,,,,,,,0.5
20000084,law+ >> assault (20000084),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000085,law+ >>> sex crime (20000085),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000086,law+ >> cyber crime (20000086),0,,,,,,,0.5
20000087,law+ >> corporate crime (20000087),0,,,,,,,0.5
20000093,law+ >> corruption (20000093),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000094,law+ >>> bribery (20000094),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000095,law+ >> drug related crimes (20000095),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000096,law+ >>> drug trafficking (20000096),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000097,law+ >> fraud (20000097),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000099,law+ >> homicide (20000099),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000100,law+ >> kidnapping (20000100),0,,,,,,,0.5
20000101,law+ >> organized crime (20000101),0,,,,,,,0.5
20000102,law+ >>> gang activity (20000102),0,,,,,,,0.5
20000103,law+ >> terrorism (20000103),0,,,,,,,0.5
20000104,law+ >> robbery and theft (20000104),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000105,law+ >> war crime (20000105),0,,,,,,,0.5
20000106,law+ > judiciary (20000106),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000107,law+ >> court (20000107),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000108,law+ >>> appeal (court) (20000108),0,,,,,,,0.5
20000110,law+ >>> judge (20000110),0,,,,,,,0.5
20000111,law+ >>> trial (court) (20000111),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000116,law+ >> out of court procedures (20000116),0,,,,,,,0.5
20000118,law+ >> prosecution and prosecutors (20000118),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000120,society >> civil rights (20000120),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000121,law+ > law (20000121),0,,,,,,,0.5
20000122,law+ >> civil law (20000122),0,,,,,,,0.5
20000124,law+ >>> regulations (20000124),0,,,,,,,0.5
20000125,law+ >> criminal law (20000125),0,,,,,,,0.5
20000126,law+ >> international law (20000126),0,,,,,,,0.5
20000127,law+ >>> extradition (20000127),0,,,,,,,0.5
20000128,law+ >>> international court and tribunal (20000128),0,,,,,,,0.5
20000129,law+ > law enforcement (20000129),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000130,law+ >> arrest (20000130),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000131,law+ >> investigation (criminal) (20000131),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000132,law+ >>> missing person (20000132),0,,,,,,,0.5
20000133,law+ >> police (20000133),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000134,law+ >>>> sentencing (criminal) (20000134),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000136,law+ >>>>> fine (penalty) (20000136),0,,,,,,,0.5
20000137,law+ >>>>> prison (20000137),0,,,,,,,0.5
20000139,disaster+ > accident and emergency incident (20000139),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000140,disaster+ >> explosion accident and incident (20000140),0,,,,,,,0.5
20000141,disaster+ >> industrial accident and incident (20000141),0,,,,,,,0.5
20000142,disaster+ >>> nuclear accident and incident (20000142),0,,,,,,,0.5
20000143,disaster+ >> transportation accident and incident (20000143),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000145,disaster+ >>> maritime accident and incident (20000145),0,,,,,,,0.5
20000146,disaster+ >>> railway accident and incident (20000146),0,,,,,,,0.5
20000147,disaster+ >>> road accident and incident (20000147),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000148,disaster+ > disaster (20000148),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000149,disaster+ >> famine (20000149),0,,,,,,,0.5
20000150,disaster+ >> fire (20000150),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000151,disaster+ >> natural disaster (20000151),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000152,disaster+ >>> drought (20000152),0,,,,,,,0.5
20000153,disaster+ >>> earthquake (20000153),0,,,,,,,0.5
20000154,disaster+ >>> flood (20000154),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000155,disaster+ >>> landslide (20000155),0,,,,,,,0.5
20000156,disaster+ >>>> avalanche (20000156),0,,,,,,,0.5
20000157,disaster+ >>> meteorological disaster (20000157),0,,,,,,,0.5
20000158,disaster+ >>>> windstorms (20000158),0,,,,,,,0.5
20000159,disaster+ >>> volcanic eruption (20000159),0,,,,,,,0.5
20000168,disaster+ > emergency response (20000168),0,,,,,,,0.5
20000170,economy+ > business information (20000170),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000174,economy+ >>> bankruptcy (20000174),0,,,,,,,0.5
20000178,economy+ >>> corporate earnings (20000178),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000183,economy+ >> business financing (20000183),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000185,economy+ >>> shareholder activity (20000185),0,,,,,,,0.5
20000188,economy+ >> human resources (20000188),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000189,economy+ >>> layoffs and downsizing (20000189),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000190,economy+ >>> executive officer (20000190),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000192,economy+ >> business strategy and marketing (20000192),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000199,economy+ >> business governance (20000199),0,,,,,,,0.5
20000204,economy+ >>> merger or acquisition (20000204),0,,,,,,,0.5
20000209,economy+ > products and services (20000209),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000210,economy+ >> agriculture (20000210),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000217,economy+ >> chemicals (20000217),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000218,economy+ >>> biotechnology business (20000218),0,,,,,,,0.5
20000223,economy+ >>> pharmaceutical (20000223),0,,,,,,,0.5
20000225,economy+ >> computing and information technology (20000225),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000226,economy+ >>> computer and telecommunications hardware (20000226),0,,,,,,,0.5
20000231,economy+ >>> software and applications (20000231),0,,,,,,,0.5
20000233,economy+ >>> telecommunication service (20000233),0,,,,,,,0.5
20000234,economy+ >>> wireless technology (20000234),0,,,,,,,0.5
20000235,economy+ >> construction and property (20000235),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000242,arts+ >>> restoration (20000242),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000243,economy+ >> consumer goods (20000243),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000245,economy+ >>> clothing (20000245),0,,,,,,,0.5
20000247,economy+ >>>> online shopping (20000247),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000252,economy+ >>> retail (20000252),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000253,economy+ >>>> specialty store (20000253),0,,,,,,,0.5
20000256,economy+ >> energy and resource (20000256),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000257,economy+ >>> renewable energy (20000257),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000258,economy+ >>> coal (20000258),0,,,,,,,0.5
20000260,economy+ >>> electricity (20000260),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000263,economy+ >>>> natural gas (20000263),0,,,,,,,0.5
20000265,economy+ >>> nuclear power (20000265),0,,,,,,,0.5
20000268,economy+ >>>> gasoline (20000268),0,,,,,,,0.5
20000269,economy+ >>> waste management (20000269),0,,,,,,,0.5
20000270,economy+ >>> water supply (20000270),0,,,,,,,0.5
20000274,economy+ >>> banking (20000274),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000279,economy+ >>> insurance (20000279),0,,,,,,,0.5
20000284,economy+ >>> market trend (20000284),0,,,,,,,0.5
20000287,economy+ >>> personal finance and investment (20000287),0,,,,,,,0.5
20000290,economy+ >>> rental service (20000290),0,,,,,,,0.5
20000291,economy+ >>> shipping and postal service (20000291),0,,,,,,,0.5
20000294,economy+ >> manufacturing and engineering (20000294),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000295,economy+ >>> aerospace (20000295),0,,,,,,,0.5
20000296,economy+ >>> automotive (20000296),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000297,economy+ >>> defense equipment (20000297),0,,,,,,,0.5
20000304,economy+ >> media and entertainment industry (20000304),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000305,economy+ >>> advertising (20000305),0,,,,,,,0.5
20000306,economy+ >>> books and publishing (20000306),0,,,,,,,0.5
20000307,economy+ >>> film industry (20000307),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000308,economy+ >>> music industry (20000308),0,,,,,,,0.5
20000313,economy+ >>> radio industry (20000313),0,,,,,,,0.5
20000314,economy+ >>> satellite and cable service (20000314),0,,,,,,,0.5
20000315,economy+ >>> television industry (20000315),0,,,,,,,0.5
20000316,economy+ >> metal and mineral mining and refining (20000316),0,,,,,,,0.5
20000317,economy+ >>> building material (20000317),0,,,,,,,0.5
20000324,economy+ >>> beverage and grocery (20000324),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000330,economy+ >>> tobacco and nicotine (20000330),0,,,,,,,0.5
20000331,economy+ >> tourism and leisure industry (20000331),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000332,economy+ >>> casinos and gambling (20000332),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000333,economy+ >>> hotel and accommodation (20000333),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000334,economy+ >>> recreational and sporting goods (20000334),0,,,,,,,0.5
20000335,economy+ >>> restaurant and catering (20000335),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000336,economy+ >>> tour operator (20000336),0,,,,,,,0.5
20000337,economy+ >> transport (20000337),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000338,economy+ >>> air transport (20000338),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000340,economy+ >>> railway transport (20000340),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000341,economy+ >>> road transport (20000341),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000343,economy+ >>> waterway and maritime transport (20000343),0,,,,,,,0.5
20000344,economy+ > economy (20000344),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000345,politics and government >> economic policy (20000345),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000346,economy+ >> economic trends and indicators (20000346),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000349,economy+ > business enterprise (20000349),0,,,,,,,0.5
20000350,economy+ >> central bank (20000350),0,,,,,,,0.5
20000352,economy+ >>> consumer confidence (20000352),0,,,,,,,0.5
20000355,economy+ >> currency (20000355),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000356,economy+ >>> deflation (20000356),0,,,,,,,0.5
20000357,economy+ >>> economic growth (20000357),0,,,,,,,0.5
20000359,economy+ >>> gross domestic product (20000359),0,,,,,,,0.5
20000365,economy+ >>> employment statistics (20000365),0,,,,,,,0.5
20000366,economy+ >>> exporting (20000366),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000368,economy+ >>> government debt (20000368),0,,,,,,,0.5
20000369,economy+ >>> importing (20000369),0,,,,,,,0.5
20000370,economy+ >>> inflation (20000370),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000371,economy+ >>> interest rates (20000371),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000373,economy+ >> international trade (20000373),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000374,economy+ >>> trade agreements (20000374),0,,,,,,,0.5
20000376,economy+ >>> trade dispute (20000376),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000377,economy+ >>> trade policy (20000377),0,,,,,,,0.5
20000379,economy+ >> monetary policy (20000379),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000380,economy+ >>> mortgages (20000380),0,,,,,,,0.5
20000381,economy+ >> mutual funds (20000381),0,,,,,,,0.5
20000385,economy+ > market and exchange (20000385),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000386,economy+ >> commodities market (20000386),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000387,economy+ >>> energy market (20000387),0,,,,,,,0.5
20000390,economy+ >> debt market (20000390),0,,,,,,,0.5
20000391,economy+ >> foreign exchange market (20000391),0,,,,,,,0.5
20000392,economy+ >> loan market (20000392),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000396,economy+ >>> stocks and securities (20000396),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000399,education > religious education (20000399),0,,,,,,,0.5
20000400,education > school (20000400),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000401,education >> primary education (20000401),0,,,,,,,0.5
20000405,education >> college and university (20000405),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000413,education > educational testing and examinations (20000413),0,,,,,,,0.5
20000415,education > students (20000415),0,,,,,,,0.5
20000416,education > teachers (20000416),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000418,environment > climate change (20000418),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000420,environment > conservation (20000420),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000422,environment >> nature preserve (20000422),0,,,,,,,0.5
20000423,politics and government >> environmental policy (20000423),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000424,environment > environmental pollution (20000424),0,,,,,,,0.5
20000425,environment >> air pollution (20000425),0,,,,,,,0.5
20000428,environment >> waste material (20000428),0,,,,,,,0.5
20000429,environment >> water pollution (20000429),0,,,,,,,0.5
20000430,environment > natural resource (20000430),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000433,environment >> forest (20000433),0,,,,,,,0.5
20000434,environment >> mountain (20000434),0,,,,,,,0.5
20000438,environment >> ocean (20000438),0,,,,,,,0.5
20000439,environment >> river (20000439),0,,,,,,,0.5
20000440,environment >> wetland (20000440),0,,,,,,,0.5
20000441,environment > nature (20000441),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000442,environment >> ecosystem (20000442),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000444,environment >> invasive species (20000444),0,,,,,,,0.5
20000446,health > disease and condition (20000446),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000447,health >> cancer (20000447),0,,,,,,,0.5
20000448,health >> communicable disease (20000448),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000449,health >>> epidemic and pandemic (20000449),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000451,health >>> viral disease (20000451),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000452,health >>>> HIV and AIDS (20000452),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000454,health >> heart disease (20000454),0,,,,,,,0.5
20000456,health >> injury (20000456),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000457,health >> medical condition (20000457),0,,,,,,,0.5
20000458,health >> mental health (20000458),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000460,health >>> obesity (20000460),0,,,,,,,0.5
20000461,health > health facility (20000461),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000462,health >> hospital (20000462),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000463,health > health organization (20000463),0,,,,,,,0.5
20000464,health > health treatment and procedure (20000464),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000467,health >> non-prescription drug (20000467),0,,,,,,,0.5
20000468,health >> prescription drugs (20000468),0,,,,,,,0.5
20000469,health >> medical test (20000469),0,,,,,,,0.5
20000477,health >> vaccine (20000477),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000478,health >> therapy (20000478),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000479,politics and government >> healthcare policy (20000479),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000480,health > government health care (20000480),0,,,,,,,0.5
20000483,health > health insurance (20000483),0,,,,,,,0.5
20000485,health > medical profession (20000485),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000487,health >> medical specialization (20000487),0,,,,,,,0.5
20000490,health >>> pediatrics (20000490),0,,,,,,,0.5
20000492,health >> medical staff (20000492),0,,,,,,,0.5
20000494,environment >>> animal disease (20000494),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000498,human interest > award and prize (20000498),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000499,human interest > record and achievement (20000499),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000500,environment >> animal (20000500),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000501,human interest > ceremony (20000501),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000504,human interest > high society (20000504),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000505,human interest > celebrity (20000505),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000506,human interest >> royalty (20000506),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000507,environment >> flowers and plants (20000507),0,,,,,,,0.5
20000509,labor > employment (20000509),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000512,labor >> employee (20000512),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000513,labor >> employer (20000513),0,,,,,,,0.5
20000514,labor >> employment training (20000514),0,,,,,,,0.5
20000518,labor >> wages and benefits (20000518),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000521,labor > employment legislation (20000521),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000522,labor >> workplace health and safety (20000522),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000523,labor > labor market (20000523),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000524,labor > labor relations (20000524),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000525,labor >> collective agreements (20000525),0,,,,,,,0.5
20000529,labor >> labor dispute (20000529),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000530,labor >>> labor strike (20000530),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000531,labor > retirement (20000531),0,,,,,,,0.5
20000532,labor >> pension (20000532),0,,,,,,,0.5
20000533,labor > unemployment (20000533),0,,,,,,,0.5
20000536,labor > unions (20000536),0,,,,,,,0.5
20000538,lifestyle+ > leisure (20000538),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000540,lifestyle+ >> game (20000540),0,,,,,,,0.5
20000541,lifestyle+ >>> board game (20000541),0,,,,,,,0.5
20000548,lifestyle+ >>> video game (20000548),0,,,,,,,0.5
20000549,lifestyle+ >> gaming and lottery (20000549),0,,,,,,,0.5
20000550,lifestyle+ >> hobby (20000550),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000551,lifestyle+ >> vacation (20000551),0,,,,,,,0.5
20000552,lifestyle+ >>> public holiday (20000552),0,,,,,,,0.5
20000553,lifestyle+ >> leisure venue (20000553),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000554,lifestyle+ >>> amusement park (20000554),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000555,lifestyle+ >>> bar (20000555),0,,,,,,,0.5
20000556,lifestyle+ >>> cafe (20000556),0,,,,,,,0.5
20000558,lifestyle+ >>> restaurant (20000558),0,,,,,,,0.5
20000560,lifestyle+ >> outdoor recreational activities (20000560),0,,,,,,,0.5
20000561,lifestyle+ >>> fishing (20000561),0,,,,,,,0.5
